X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
16, -0.5, 2, -32.493, 118.1, 5, 5, 5, 5
16, 0, 2, -29.86, -136.63, 5, 5, 5, 5
16, 0.5, 2, -32.948, 122.75, 5, 5, 5, 5
16, 1, 2, -29.685, 55.852, 5, 5, 5, 5
16, 1.5, 2, nan, nan, 5, 5, 5, 5
16.5, -1.5, 2, nan, nan, 5, 5, 5, 5
16.5, -1, 2, -29.526, -62.387, 5, 5, 5, 5
16.5, -0.5, 2, -36.208, 86.585, 5, 5, 5, 5
16.5, 0, 2, -30.01, 126.67, 5, 5, 5, 5
16.5, 0.5, 2, -36.489, 106.34, 5, 5, 5, 5
16.5, 1, 2, -31.336, -38.133, 5, 5, 5, 5
16.5, 1.5, 2, nan, nan, 5, 5, 5, 5
17, -1.5, 2, -39.19, 46.661, 5, 5, 5, 5
17, -1, 2, -28.368, -148.55, 5, 5, 5, 5
17, -0.5, 2, -35.128, 55.226, 5, 5, 5, 5
17, 0, 2, -31.619, 24.114, 5, 5, 5, 5
17, 0.5, 2, -35.818, 89.139, 5, 5, 5, 5
17, 1, 2, -34.178, 159.23, 5, 5, 5, 5
17, 1.5, 2, nan, nan, 5, 5, 5, 5
17.5, -1.5, 2, -41.657, -17.381, 5, 5, 5, 5
17.5, -1, 2, -28.339, 131.12, 5, 5, 5, 5
17.5, -0.5, 2, -33.799, -11.253, 5, 5, 5, 5
17.5, 0, 2, -33.973, -92.456, 5, 5, 5, 5
17.5, 0.5, 2, -37.977, 45.701, 5, 5, 5, 5
17.5, 1, 2, -28.066, 52.135, 5, 5, 5, 5
17.5, 1.5, 2, nan, nan, 5, 5, 5, 5
18, -1.5, 2, nan, nan, 5, 5, 5, 5
18, -1, 2, -29.57, 48.617, 5, 5, 5, 5
18, -0.5, 2, -33.822, -97.472, 5, 5, 5, 5
18, 0, 2, -33.598, 137.57, 5, 5, 5, 5
18, 0.5, 2, -45.185, 48.977, 5, 5, 5, 5
18, 1, 2, -28.887, -34.921, 5, 5, 5, 5
18, 1.5, 2, nan, nan, 5, 5, 5, 5
18.5, -1.5, 2, nan, nan, 5, 5, 5, 5
18.5, -1, 2, -31.263, -39.197, 5, 5, 5, 5
18.5, -0.5, 2, -34.262, 167.7, 5, 5, 5, 5
18.5, 0, 2, -30.958, 25.971, 5, 5, 5, 5
18.5, 0.5, 2, -37.632, 41.407, 5, 5, 5, 5
18.5, 1, 2, -35.084, -155.97, 5, 5, 5, 5
18.5, 1.5, 2, nan, nan, 5, 5, 5, 5
19, -1.5, 2, nan, nan, 5, 5, 5, 5
19, -1, 2, -32.624, -127.86, 5, 5, 5, 5
19, -0.5, 2, -35.484, 72.493, 5, 5, 5, 5
19, 0, 2, -29.632, -70.15, 5, 5, 5, 5
19, 0.5, 2, -35.313, -23.508, 5, 5, 5, 5
19, 1, 2, -31.712, 52.952, 5, 5, 5, 5
19, 1.5, 2, nan, nan, 5, 5, 5, 5
19.5, -1.5, 2, nan, nan, 5, 5, 5, 5
19.5, -1, 2, -33.931, 150.25, 5, 5, 5, 5
19.5, -0.5, 2, -39.271, -24.771, 5, 5, 5, 5
19.5, 0, 2, -30.232, -160.34, 5, 5, 5, 5
19.5, 0.5, 2, -38.403, -93.83, 5, 5, 5, 5
19.5, 1, 2, -29.439, -43.19, 5, 5, 5, 5
19.5, 1.5, 2, -41.245, -88.476, 5, 5, 5, 5
20, -1.5, 2, -44.632, -32.931, 5, 5, 5, 5
20, -1, 2, -35.722, 78.684, 5, 5, 5, 5
20, -0.5, 2, -48.793, -175.56, 5, 5, 5, 5
20, 0, 2, -33.116, 112.21, 5, 5, 5, 5
20, 0.5, 2, -50.438, -86.557, 5, 5, 5, 5
20, 1, 2, -32.48, -135.1, 5, 5, 5, 5
20, 1.5, 2, nan, nan, 5, 5, 5, 5
20.5, -1.5, 2, nan, nan, 5, 5, 5, 5
20.5, -1, 2, -37.465, 17.858, 5, 5, 5, 5
20.5, -0.5, 2, -38.918, 16.106, 5, 5, 5, 5
20.5, 0, 2, -40.283, 29.782, 5, 5, 5, 5
20.5, 0.5, 2, -36.453, -101.98, 5, 5, 5, 5
20.5, 1, 2, -43.007, 75.008, 5, 5, 5, 5
20.5, 1.5, 2, -36.295, -136.48, 5, 5, 5, 5
21, -1.5, 2, nan, nan, 5, 5, 5, 5
21, -1, 2, -37.993, -40.921, 5, 5, 5, 5
21, -0.5, 2, -33.454, -82.113, 5, 5, 5, 5
21, 0, 2, -48.252, 82.257, 5, 5, 5, 5
21, 0.5, 2, -31.701, 177.51, 5, 5, 5, 5
21, 1, 2, -33.276, -90.755, 5, 5, 5, 5
21, 1.5, 2, nan, nan, 5, 5, 5, 5
21.5, -1.5, 2, -37.389, 44.365, 5, 5, 5, 5
21.5, -1, 2, -37.961, -110.88, 5, 5, 5, 5
21.5, -0.5, 2, -30.969, -175.89, 5, 5, 5, 5
21.5, 0, 2, -37.015, 13.54, 5, 5, 5, 5
21.5, 0.5, 2, -30.244, 91.293, 5, 5, 5, 5
21.5, 1, 2, -29.43, 173.19, 5, 5, 5, 5
21.5, 1.5, 2, nan, nan, 5, 5, 5, 5
22, -1.5, 2, nan, nan, 5, 5, 5, 5
22, -1, 2, -38.647, 164.38, 5, 5, 5, 5
22, -0.5, 2, -30.047, 89.379, 5, 5, 5, 5
22, 0, 2, -33.675, -73.785, 5, 5, 5, 5
22, 0.5, 2, -30.932, 2.0879, 5, 5, 5, 5
22, 1, 2, -29.289, 78.901, 5, 5, 5, 5
22, 1.5, 2, -42.65, 79.988, 5, 5, 5, 5
22.5, -1.5, 2, nan, nan, 5, 5, 5, 5
22.5, -1, 2, -40.009, 62.148, 5, 5, 5, 5
22.5, -0.5, 2, -30.145, -8.0387, 5, 5, 5, 5
22.5, 0, 2, -32.707, -163.08, 5, 5, 5, 5
22.5, 0.5, 2, -33.896, -89.853, 5, 5, 5, 5
22.5, 1, 2, -31.75, -21.703, 5, 5, 5, 5
22.5, 1.5, 2, -57.208, 37.24, 5, 5, 5, 5
23, -1.5, 2, -35.879, -176.58, 5, 5, 5, 5
23, -1, 2, -39.921, -56.986, 5, 5, 5, 5
23, -0.5, 2, -30.908, -109.33, 5, 5, 5, 5
23, 0, 2, -33.107, 107.34, 5, 5, 5, 5
23, 0.5, 2, -41.317, 172.69, 5, 5, 5, 5
23, 1, 2, -36.166, -142.81, 5, 5, 5, 5
23, 1.5, 2, -47.431, 134.93, 5, 5, 5, 5
23.5, -1.5, 2, -36.662, 106.73, 5, 5, 5, 5
23.5, -1, 2, -37.45, -172.41, 5, 5, 5, 5
23.5, -0.5, 2, -31.954, 144.84, 5, 5, 5, 5
23.5, 0, 2, -34.487, 18.755, 5, 5, 5, 5
23.5, 0.5, 2, -47.948, -74.707, 5, 5, 5, 5
23.5, 1, 2, -36.808, 69.656, 5, 5, 5, 5
23.5, 1.5, 2, nan, nan, 5, 5, 5, 5
24, -1.5, 2, -37.866, 26.89, 5, 5, 5, 5
24, -1, 2, -34.917, 82.896, 5, 5, 5, 5
24, -0.5, 2, -32.86, 35.31, 5, 5, 5, 5
24, 0, 2, -36.545, -67.011, 5, 5, 5, 5
24, 0.5, 2, -36.84, 176.16, 5, 5, 5, 5
24, 1, 2, -34.253, -52.412, 5, 5, 5, 5
24, 1.5, 2, nan, nan, 5, 5, 5, 5
24.5, -1.5, 2, nan, nan, 5, 5, 5, 5
24.5, -1, 2, -33.197, -17.302, 5, 5, 5, 5
24.5, -0.5, 2, -33.41, -75.173, 5, 5, 5, 5
24.5, 0, 2, -38.714, -147.96, 5, 5, 5, 5
24.5, 0.5, 2, -33.353, 77.003, 5, 5, 5, 5
24.5, 1, 2, -33.603, -159.66, 5, 5, 5, 5
24.5, 1.5, 2, nan, nan, 5, 5, 5, 5
25, -1.5, 2, -40.894, -147.35, 5, 5, 5, 5
25, -1, 2, -32.242, -116.92, 5, 5, 5, 5
25, -0.5, 2, -33.798, 176.03, 5, 5, 5, 5
25, 0, 2, -40.018, 134.39, 5, 5, 5, 5
25, 0.5, 2, -32.223, -22.869, 5, 5, 5, 5
25, 1, 2, -35.116, 93.774, 5, 5, 5, 5
25, 1.5, 2, nan, nan, 5, 5, 5, 5
25.5, -1.5, 2, -41.988, 116.48, 5, 5, 5, 5
25.5, -1, 2, -31.871, 142.15, 5, 5, 5, 5
25.5, -0.5, 2, -34.387, 69.58, 5, 5, 5, 5
25.5, 0, 2, -40.08, 52.462, 5, 5, 5, 5
25.5, 0.5, 2, -32.593, -124.86, 5, 5, 5, 5
25.5, 1, 2, -38.899, -23.297, 5, 5, 5, 5
25.5, 1.5, 2, -40.231, -171.66, 5, 5, 5, 5
26, -1.5, 2, -42.173, 17.017, 5, 5, 5, 5
26, -1, 2, -31.884, 38.894, 5, 5, 5, 5
26, -0.5, 2, -35.472, -35.209, 5, 5, 5, 5
26, 0, 2, -39.62, -38.284, 5, 5, 5, 5
26, 0.5, 2, -34.315, 129.2, 5, 5, 5, 5
