X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
17, -1, 2, -27.877, -177.01, 12, 12, 12, 9
17, -0.5, 2, -34.679, 42.778, 12, 12, 12, 9
17, 0, 2, -26.283, 4.3999, 13, 13, 13, 9
17, 0.5, 2, -34.679, 42.778, 12, 12, 12, 9
17, 1, 2, -27.877, -177.01, 12, 12, 12, 9
17, 1.5, 2, nan, nan, 12, 12, 12, 9
17.5, -1.5, 2, nan, nan, 12, 12, 12, 9
17.5, -1, 2, -26.809, 119.46, 12, 12, 12, 9
17.5, -0.5, 2, -35.488, 79.992, 12, 12, 12, 9
17.5, 0, 2, -31.487, -63.395, 13, 13, 13, 9
17.5, 0.5, 2, -35.488, 79.992, 12, 12, 12, 9
17.5, 1, 2, -26.809, 119.46, 12, 12, 12, 9
17.5, 1.5, 2, nan, nan, 12, 12, 12, 9
18, -1.5, 2, nan, nan, 12, 12, 12, 9
18, -1, 2, -36.925, 60.764, 12, 12, 12, 9
18, -0.5, 2, -35.688, 58.821, 12, 12, 12, 9
18, 0, 2, -27.309, -153.7, 13, 13, 13, 9
18, 0.5, 2, -35.688, 58.821, 12, 12, 12, 9
18, 1, 2, -36.925, 60.764, 12, 12, 12, 9
18, 1.5, 2, nan, nan, 12, 12, 12, 9
18.5, -1.5, 2, nan, nan, 12, 12, 12, 9
18.5, -1, 2, -32.761, -79.89, 12, 12, 12, 9
18.5, -0.5, 2, -30.4, -5.9575, 12, 12, 12, 9
18.5, 0, 2, -30.475, 174.63, 13, 13, 13, 9
18.5, 0.5, 2, -30.4, -5.9575, 12, 12, 12, 9
18.5, 1, 2, -32.761, -79.89, 12, 12, 12, 9
18.5, 1.5, 2, nan, nan, 12, 12, 12, 9
19, -1.5, 2, nan, nan, 12, 12, 12, 9
19, -1, 2, -33.79, -178.3, 12, 12, 12, 9
19, -0.5, 2, -34.705, -65.842, 12, 12, 12, 9
19, 0, 2, -44.86, 10.045, 13, 13, 13, 9
19, 0.5, 2, -34.705, -65.842, 12, 12, 12, 9
19, 1, 2, -33.79, -178.3, 12, 12, 12, 9
19, 1.5, 2, nan, nan, 12, 12, 12, 9
19.5, -1.5, 2, nan, nan, 12, 12, 12, 9
19.5, -1, 2, -34.263, 99.976, 12, 12, 12, 9
19.5, -0.5, 2, -31.194, 166.86, 12, 12, 12, 9
19.5, 0, 2, -34.208, -3.0739, 13, 13, 13, 9
19.5, 0.5, 2, -31.194, 166.86, 12, 12, 12, 9
19.5, 1, 2, -34.263, 99.976, 12, 12, 12, 9
19.5, 1.5, 2, nan, nan, 12, 12, 12, 9
20, -1.5, 2, nan, nan, 12, 12, 12, 9
20, -1, 2, -31.574, -26.509, 12, 12, 12, 9
20, -0.5, 2, -31.016, 119.3, 12, 12, 12, 9
20, 0, 2, -30.551, 12.05, 13, 13, 13, 9
20, 0.5, 2, -31.016, 119.3, 12, 12, 12, 9
20, 1, 2, -31.574, -26.509, 12, 12, 12, 9
20, 1.5, 2, nan, nan, 12, 12, 12, 9
20.5, -1.5, 2, nan, nan, 12, 12, 12, 9
20.5, -1, 2, -29.071, -82.721, 12, 12, 12, 9
20.5, -0.5, 2, -50.538, -16.467, 12, 12, 12, 9
20.5, 0, 2, -31.307, -11.366, 13, 13, 13, 9
20.5, 0.5, 2, -50.538, -16.467, 12, 12, 12, 9
20.5, 1, 2, -29.071, -82.721, 12, 12, 12, 9
20.5, 1.5, 2, nan, nan, 12, 12, 12, 9
21, -1.5, 2, nan, nan, 12, 12, 12, 9
21, -1, 2, -33.651, -157.11, 12, 12, 12, 9
21, -0.5, 2, -34.141, -142.88, 12, 12, 12, 9
21, 0, 2, -40.304, -155.03, 14, 14, 14, 9
21, 0.5, 2, -34.141, -142.88, 12, 12, 12, 9
21, 1, 2, -33.651, -157.11, 12, 12, 12, 9
21, 1.5, 2, nan, nan, 12, 12, 12, 9
21.5, -1.5, 2, nan, nan, 12, 12, 12, 9
21.5, -1, 2, -35.042, 121.49, 12, 12, 12, 9
21.5, -0.5, 2, -34.538, 130.97, 12, 12, 12, 9
21.5, 0, 2, -27.813, 118.28, 12, 12, 12, 9
21.5, 0.5, 2, -34.538, 130.97, 12, 12, 12, 9
21.5, 1, 2, -35.042, 121.49, 12, 12, 12, 9
21.5, 1.5, 2, nan, nan, 12, 12, 12, 9
22, -1.5, 2, nan, nan, 12, 12, 12, 9
22, -1, 2, -41.235, 121.9, 12, 12, 12, 9
22, -0.5, 2, -33.554, 28.851, 12, 12, 12, 9
22, 0, 2, -26.552, 64.954, 12, 12, 12, 9
22, 0.5, 2, -33.554, 28.851, 12, 12, 12, 9
22, 1, 2, -41.235, 121.9, 12, 12, 12, 9
22, 1.5, 2, nan, nan, 12, 12, 12, 9
22.5, -1.5, 2, nan, nan, 12, 12, 12, 9
22.5, -1, 2, -36.11, 146.74, 12, 12, 12, 9
22.5, -0.5, 2, -34.823, -63.087, 12, 12, 12, 9
22.5, 0, 2, -32.283, -3.3316, 12, 12, 12, 9
22.5, 0.5, 2, -34.823, -63.087, 12, 12, 12, 9
22.5, 1, 2, -36.11, 146.74, 12, 12, 12, 9
22.5, 1.5, 2, nan, nan, 12, 12, 12, 9
23, -1.5, 2, nan, nan, 12, 12, 12, 9
23, -1, 2, -35.934, 91.28, 12, 12, 12, 9
23, -0.5, 2, -34.471, 173.66, 12, 12, 12, 9
